PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,GM,IM
-0.808,-0.508,0.283,-0.355,-0.89,-0.295,-0.372,-1.767,-1.391,Bajo,-0.89
-2.976,-1.151,-0.807,0.547,-3.213,0.177,-1.085,-1.847,0.083,Muy bajo,-1.34
-1.65,-1.095,-0.438,0.102,-1.742,-0.088,-0.747,-1.336,-0.905,Bajo,-0.97
0.682,0.269,-0.133,0.056,1.062,0.022,0.36,0.72,0.625,Alto,0.48
-1.343,-1.111,0.292,-0.209,-1.422,-0.478,-0.356,-1.722,-1.11,Bajo,-1.05
-1.702,-0.502,-0.456,-1.206,-1.215,0.252,-1.023,-1.153,-0.268,Bajo,-0.76
2.948,1.676,-0.976,0.171,3.574,0.84,2.036,4.103,1.528,Muy alto,2.36
-1.655,-0.526,-0.464,0.343,-1.89,-0.318,-0.4,-1.347,-0.679,Bajo,-0.87
-2.238,-2.323,0.537,-0.287,-2.316,-0.444,-0.268,-2.72,-1.48,Muy bajo,-1.69
0.546,0.37,0.562,0.331,-0.045,-0.859,-0.124,0.189,-0.861,Alto,0.01
0.246,1.101,0.105,-0.386,0.264,0.008,0.42,-0.187,0.258,Alto,0.21
1.906,1.21,0.325,-0.144,1.836,0.726,1.163,3.381,2.297,Muy alto,1.75
2.061,0.997,0.373,0.537,1.771,0.051,1.17,1.712,0.648,Muy alto,1.17
-1.31,-0.282,-0.103,-0.115,-1.575,0.163,-0.394,-1.105,-0.738,Bajo,-0.77
-0.712,-1.067,0.375,-0.296,-0.419,-0.426,-0.211,-1.208,-0.101,Bajo,-0.6
0.342,0.946,-0.132,-0.456,0.251,0.705,-0.032,0.644,0.149,Alto,0.36
-0.683,-0.497,0.58,-0.97,-0.63,0.076,-0.365,-0.713,-0.163,Bajo,-0.46
-0.125,0.504,-0.066,-0.384,-0.142,0.398,-1.09,-0.447,0.095,Medio,-0.13
-1.892,-1.672,0.23,-0.193,-1.953,-0.32,-0.462,-2.188,-1.237,Muy bajo,-1.38
3.116,1.469,0.355,0.004,2.976,0.959,1.297,3.853,1.31,Muy alto,2.06
1.444,0.54,0.517,-0.053,1.431,0.129,0.831,1.337,0.659,Muy alto,0.83
0.243,0.728,0.259,0.089,-0.079,-0.167,0.449,-0.187,0.218,Alto,0.16
-1.271,-0.018,-1.108,-0.945,-0.34,0.008,-0.655,-0.581,0.703,Medio,-0.19
0.962,0.284,-0.787,1.265,0.704,0.18,0.875,1.786,-0.143,Alto,0.75
-0.189,-0.048,0.022,-0.282,-0.08,0.125,-1.077,-0.254,0.328,Medio,-0.14
-1.613,-1.08,-0.468,-0.467,-1.287,-0.156,-1.078,-1.243,-0.477,Bajo,-0.86
1.613,0.554,-0.177,1.669,1.519,0.467,-0.552,0.316,0.854,Alto,0.52
-1.154,-1.053,-0.837,0.511,-0.892,-0.214,-0.163,-0.753,-0.651,Bajo,-0.61
0.817,-0.375,1.094,-0.788,1.318,-1.037,0.084,-0.902,0.012,Medio,-0.04
1.418,0.382,-0.782,1.034,1.518,0.483,0.819,2.387,0.742,Muy alto,1.13
1.08,0.685,0.738,0.067,0.935,-0.09,0.768,0.522,0.128,Alto,0.4
1.899,1.593,1.088,0.809,0.97,-0.878,0.181,0.712,-0.433,Alto,0.57
