CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSDSE,IM,GM,IND0A100,LUGAR,AÑO
8,Chihuahua,3241444,4.42,18.81,3.29,4.28,6.45,31.93,6.45,17.54,27.25,-,-0.68,Bajo,-,23,2005
9,Distrito Federal,8720916,2.59,9.7,0.16,0.15,1.51,29.31,1.12,0.52,33.04,-,-1.5,Muy bajo,-,32,2005
10,Durango,1509117,4.84,22.92,8.51,3.52,8.63,36.09,11.34,38.64,50.04,-,-0.02,Medio,-,15,2005
11,Guanajuato,4893812,10.44,28.8,9.87,1.93,6.14,40.99,8.95,34.46,44.69,-,0.09,Medio,-,14,2005
12,Guerrero,3115202,19.88,35.98,27.18,6.33,31.34,55.06,35.69,50.51,64.97,-,2.41,Muy alto,-,1,2005
13,Hidalgo,2345514,12.8,27.5,8.98,3.9,12.21,42.69,12.78,57.28,61.63,-,0.75,Alto,-,5,2005
14,Jalisco,6752113,5.56,21.3,2.42,1.12,5.91,33.27,5.35,17.4,34.74,-,-0.77,Bajo,-,27,2005
15,México,14007495,5.32,16.24,4.76,0.96,6.04,41.46,6.04,18.63,41.18,-,-0.62,Bajo,-,21,2005
16,Michoacán de Ocampo,3966073,12.58,33.48,5.66,2.11,9.97,40.01,15.67,40.51,55.79,-,0.46,Alto,-,10,2005
17,Morelos,1612899,8.13,21.01,3.1,0.81,7.84,38.63,10.71,22.88,37.77,-,-0.44,Bajo,-,20,2005
18,Nayarit,949684,8.02,26.05,6.78,4.38,8.35,37.73,9.93,41.67,51.73,-,0.19,Medio,-,12,2005
19,Nuevo León,4199292,2.78,12.7,0.54,0.56,3.48,33.49,2.34,7.13,23.55,-,-1.33,Muy bajo,-,31,2005
20,Oaxaca,3506821,19.35,38.49,6.84,7.21,26.29,53.06,35.17,61.27,69.65,-,2.13,Muy alto,-,3,2005
21,Puebla,5383133,12.71,29.02,5.45,2.19,14.03,49.16,15.86,39,61.34,-,0.63,Alto,-,7,2005
22,Querétaro,1598139,8.14,20.03,9.95,2.99,5.76,37.6,8.59,38.34,39.23,-,-0.14,Medio,-,17,2005
23,Quintana Roo,1135309,6.58,19.42,5.19,2.59,4.66,49.9,8.41,17.1,36.78,-,-0.32,Bajo,-,19,2005
24,San Luis Potosí,2410414,9.92,27.42,5.72,5.58,16.97,38.6,19.67,41.18,56.11,-,0.66,Alto,-,6,2005
25,Sinaloa,2608442,6.42,23.42,5.14,1.92,6.24,43.08,9.78,35.3,44.95,-,-0.15,Medio,-,18,2005
26,Sonora,2394861,3.73,17.21,1.92,1.87,4.01,38.73,9.67,18.29,31.76,-,-0.75,Bajo,-,26,2005
27,Tabasco,1989969,8.57,25.1,3.99,1.95,22.94,47.11,9.11,55.78,51.97,-,0.46,Alto,-,9,2005
28,Tamaulipas,3024238,4.52,18.61,0.84,2.88,4.26,39.24,5.39,14.92,37.56,-,-0.68,Bajo,-,22,2005
29,Tlaxcala,1068207,6.68,18.78,4.84,1.11,2.03,47.93,6.26,40.3,62.59,-,-0.13,Medio,-,16,2005
30,Veracruz de Ignacio de la Llave,7110214,13.42,32.9,4.18,4.67,23.32,45.02,22.77,46.68,58.36,-,1.08,Alto,-,4,2005
31,Yucatán,1818948,10.89,29.99,17.96,2.61,3.03,48.36,4.81,27.42,63,-,0.43,Alto,-,11,2005
32,Zacatecas,1367692,7.2,30.83,10.53,1.91,6.72,37.06,6.29,50.59,54.25,-,0.16,Medio,-,13,2005
1,Aguascalientes,1184996,3.27,14.75,1.06,0.62,0.99,30.33,1.76,25.16,33.65,-,-0.91,Bajo,15.24,28,2010
2,Baja California,3155070,2.6,12.99,0.43,0.95,3.56,29.06,3.4,10.35,21.87,-,-1.14,Muy bajo,10.35,30,2010
3,Baja California Sur,637026,3.23,14.27,0.94,2.84,7.09,31.74,5.81,15.62,23.3,-,-0.68,Bajo,20.14,23,2010
4,Campeche,822441,8.37,22.54,6.42,2.59,9.74,45.97,4.5,30.88,45.51,-,0.43,Alto,43.93,10,2010
5,Coahuila de Zaragoza,2748391,2.65,12.17,1.09,0.54,1.39,30.27,1.42,12.15,30.04,-,-1.14,Muy bajo,10.35,29,2010
6,Colima,650555,5.16,18.48,0.69,0.59,1.17,31.32,4.69,14.48,32.04,-,-0.78,Bajo,18.06,26,2010
7,Chiapas,4796580,17.91,37.13,5.06,3.82,22.37,53.9,15.66,57.86,69.85,-,2.32,Muy alto,84.14,2,2010
8,Chihuahua,3406465,3.7,16.07,2.64,3.78,4.95,28.39,3.55,17.05,35.93,-,-0.52,Bajo,23.59,21,2010
9,Distrito Federal,8851080,2.11,8.72,0.08,0.08,1.79,26.08,1.08,0.67,28.51,-,-1.48,Muy bajo,3.04,32,2010
10,Durango,1632934,3.84,18.76,5.85,4.19,5.73,32.6,7.01,36.19,40.61,-,0.05,Medio,35.8,15,2010
11,Guanajuato,5486372,8.23,24.01,6.39,1.49,5.37,36.27,4.25,34.67,39.22,-,0.06,Medio,35.97,14,2010
12,Guerrero,3388768,16.82,31.6,19.58,4.38,29.79,50.18,19.61,49.68,54.94,-,2.53,Muy alto,88.72,1,2010
13,Hidalgo,2665018,10.3,22.67,6.03,2.5,9.1,37.68,7.22,58.71,49.29,-,0.66,Alto,48.79,6,2010
14,Jalisco,7350682,4.39,18.02,1.5,0.78,3.86,30.1,3.19,17.5,27.15,-,-0.82,Bajo,17.08,27,2010
15,México,15175862,4.41,14.29,3.18,0.79,5.67,37.93,3.94,19.1,35.34,-,-0.55,Bajo,22.86,22,2010
16,Michoacán de Ocampo,4351037,10.25,29.19,3.81,1.7,8.06,36.17,10.98,40.58,43.69,-,0.53,Alto,45.9,8,2010
17,Morelos,1777227,6.46,17.88,1.98,0.81,8.25,34.17,7.8,24.65,38.23,-,-0.27,Medio,28.87,19,2010
18,Nayarit,1084979,6.35,21.51,5.4,3.76,7.47,33.72,4.38,39.14,38.04,-,0.12,Medio,37.28,12,2010
19,Nuevo León,4653458,2.24,10.92,0.39,0.3,2.21,29.82,1.97,6.7,17.14,-,-1.38,Muy bajo,5.16,31,2010
20,Oaxaca,3801962,16.38,33.85,4.01,4.93,23.66,46.53,19.33,61.51,57.77,-,2.15,Muy alto,80.48,3,2010
21,Puebla,5779829,10.44,25.13,3.09,1.67,12.4,44.59,9.86,38.5,52.45,-,0.71,Alto,49.88,5,2010
22,Querétaro,1827937,6.35,16.75,6.32,2,4.93,33.1,3.83,39.07,29.96,-,-0.26,Medio,29.04,18,2010
23,Quintana Roo,1325578,4.86,15.58,3.06,1.97,6.18,43.14,3.95,14.36,29.24,-,-0.42,Medio,25.76,20,2010
24,San Luis Potosí,2585518,7.96,23.18,3.99,3.91,14.17,34.43,9.1,40.08,46.7,-,0.56,Alto,46.72,7,2010
25,Sinaloa,2767761,5.01,19.71,3.41,1.11,4.71,38.33,6.38,32.85,31.68,-,-0.26,Medio,29.13,17,2010
26,Sonora,2662480,3.06,14.4,1.68,1.57,3.08,34.77,5.41,17.39,30.66,-,-0.7,Bajo,19.67,24,2010
27,Tabasco,2238603,7.1,21.33,2.97,1.19,18.51,43.15,6.58,53.65,42.05,-,0.47,Alto,44.76,9,2010
28,Tamaulipas,3268554,3.67,15.96,0.63,1.56,2.91,35.19,3.35,13.92,33.97,-,-0.72,Bajo,19.28,25,2010
29,Tlaxcala,1169936,5.22,15.52,2.69,1,1.47,42.96,3.73,36.4,52.99,-,-0.15,Medio,31.48,16,2010
30,Veracruz de Ignacio de la Llave,7643194,11.5,28.87,2.58,2.92,19.51,39.96,12.4,46.2,50.64,-,1.08,Alto,57.63,4,2010
31,Yucatán,1955577,9.3,25.4,12.62,1.74,2.18,42.93,2.85,26.27,53.28,-,0.42,Alto,43.7,11,2010
32,Zacatecas,1490668,5.58,24.68,6.69,1.39,5.43,32.9,3.29,48.19,48.28,-,0.1,Medio,36.89,13,2010
1,Aguascalientes,1312544,2.6,11.89,0.67,0.3,0.81,21.86,0.75,25.16,34.6,-,-0.89,Bajo,-,28,2015
