PC1,IM,GM
-0.808,-0.89,Bajo
-2.976,-1.34,Muy bajo
-1.65,-0.97,Bajo
0.682,0.48,Alto
-1.343,-1.05,Bajo
-1.702,-0.76,Bajo
2.948,2.36,Muy alto
-1.655,-0.87,Bajo
-2.238,-1.69,Muy bajo
0.546,0.01,Alto
0.246,0.21,Alto
1.906,1.75,Muy alto
2.061,1.17,Muy alto
-1.31,-0.77,Bajo
-0.712,-0.6,Bajo
0.342,0.36,Alto
-0.683,-0.46,Bajo
-0.125,-0.13,Medio
-1.892,-1.38,Muy bajo
3.116,2.06,Muy alto
1.444,0.83,Muy alto
0.243,0.16,Alto
-1.271,-0.19,Medio
0.962,0.75,Alto
-0.189,-0.14,Medio
-1.613,-0.86,Bajo
1.613,0.52,Alto
-1.154,-0.61,Bajo
0.817,-0.04,Medio
1.418,1.13,Muy alto
1.08,0.4,Alto
1.899,0.57,Alto
