CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM,GM,LUGAR,A.O
1,Aguascalientes,1312544,2.6,11.89,0.67,0.3,0.81,21.86,0.75,25.16,34.6,-0.89,Bajo,28,2015
2,Baja California,3315766,1.96,10.46,0.26,0.47,2.82,23.03,1.15,10.35,22.85,-1.1,Muy bajo,30,2015
3,Baja California Sur,712029,2.51,11.59,0.38,1.14,7.15,26.23,4.08,15.62,22.37,-0.6,Bajo,22,2015
4,Campeche,899931,6.68,18.56,4.08,1.59,6.49,37.93,2.95,30.88,40.69,0.46,Alto,10,2015
5,Coahuila de Zaragoza,2954915,1.99,9.56,0.62,0.29,1.67,23.62,0.66,12.15,27.94,-1.1,Muy bajo,29,2015
6,Colima,711235,3.9,15.24,0.38,0.38,0.96,25.65,2.45,14.47,31.18,-0.73,Bajo,26,2015
7,Chiapas,5217908,14.98,31.71,2.9,2.49,13.45,44.46,11.78,57.86,62.46,2.41,Muy alto,2,2015
8,Chihuahua,3556574,2.67,12.65,1.4,1.81,2.39,22.16,1.76,17.05,34.77,-0.6,Bajo,23,2015
9,Distrito Federal,8918653,1.49,6.62,0.04,0.04,1.1,19.19,0.47,0.67,28.26,-1.45,Muy bajo,32,2015
10,Durango,1754754,3.17,14.5,3.68,2.63,3.26,24.58,4.33,36.19,39.16,0.05,Medio,13,2015
11,Guanajuato,5853677,6.39,19.12,3.31,0.68,4.13,25.36,2,34.67,37.41,-0.07,Medio,15,2015
12,Guerrero,3533251,13.73,27.25,13.03,2.4,15.64,42.11,14.86,49.68,53.29,2.56,Muy alto,1,2015
13,Hidalgo,2858359,8.26,18.13,3.09,1.12,5.83,28.17,3.19,58.71,46.22,0.5,Alto,9,2015
14,Jalisco,7844830,3.55,14.9,0.86,0.34,1.84,22.12,1.59,17.5,29.4,-0.82,Bajo,27,2015
15,México,16187608,3.37,11.77,1.68,0.38,4.03,28.53,1.92,19.11,35.28,-0.57,Bajo,21,2015
16,Michoacán de Ocampo,4584471,8.35,25.35,2.32,0.81,4.26,28.05,5.9,40.58,44.88,0.5,Alto,8,2015
17,Morelos,1903811,4.99,15.09,1.03,0.44,5.81,27.04,3.88,24.65,42.08,-0.2,Medio,17,2015
18,Nayarit,1181050,5.07,17.56,4.66,2.54,4.36,27.63,3.92,39.14,37.96,0.31,Medio,11,2015
19,Nuevo León,5119504,1.64,8.38,0.16,0.12,1.36,23.09,0.8,6.7,16.15,-1.39,Muy bajo,31,2015
20,Oaxaca,3967889,13.65,29.22,2.44,2.87,13.05,38.33,13.44,61.51,49.46,2.12,Muy alto,3,2015
21,Puebla,6168883,8.39,21.32,1.58,0.88,6.94,35.27,5.69,38.5,52.16,0.69,Alto,5,2015
22,Querétaro,2038372,4.57,13.01,2.93,0.67,3.23,24.21,1.52,39.07,25.92,-0.49,Bajo,20,2015
23,Quintana Roo,1501562,3.9,13.32,2.19,1.11,2.7,36.31,2.41,14.36,28.32,-0.37,Medio,19,2015
24,San Luis Potosí,2717820,6.33,18.87,2.34,2.29,10.68,25.21,5.56,40.08,43.64,0.58,Alto,6,2015
25,Sinaloa,2966321,4.18,16.82,2.57,0.52,2.99,30.37,2.85,32.85,32.7,-0.24,Medio,18,2015
26,Sonora,2850330,2.19,11.15,1.05,1.05,2.52,26.63,2.61,17.39,29.93,-0.7,Bajo,25,2015
27,Tabasco,2395272,5.4,17.25,1.81,0.43,10.1,32.5,3.69,53.65,36.96,0.3,Medio,12,2015
28,Tamaulipas,3441698,3.03,13.35,0.37,0.73,2.51,28.69,1.52,13.92,37.39,-0.62,Bajo,24,2015
29,Tlaxcala,1272847,3.98,12.6,1.36,0.47,1.14,32,2,36.4,51.47,-0.2,Medio,16,2015
30,Veracruz de Ignacio de la Llave,8112505,9.51,25.04,1.53,1.62,13.39,32.03,6.84,46.2,49.68,1.14,Alto,4,2015
31,Yucatán,2097175,7.47,21.17,10.1,1.08,1.64,36.42,1.67,26.27,47.6,0.51,Alto,7,2015
32,Zacatecas,1579209,4.42,19.31,4.17,0.62,3.13,24.99,1.25,48.19,45.4,0.01,Medio,14,2015
