PC1,IM,GM
0.27,-0.89,Bajo
-0.335,-1.1,Muy bajo
-0.653,-0.6,Bajo
-0.778,0.46,Alto
-0.259,-1.1,Muy bajo
-0.287,-0.73,Bajo
-0.084,2.41,Muy alto
-0.281,-0.6,Bajo
0.01,-1.45,Muy bajo
-0.222,0.05,Medio
0.82,-0.07,Medio
0.856,2.56,Muy alto
1.083,0.5,Alto
0.227,-0.82,Bajo
-0.3,-0.57,Bajo
0.719,0.5,Alto
0.201,-0.2,Medio
-0.091,0.31,Medio
-0.467,-1.39,Muy bajo
0.118,2.12,Muy alto
-0.05,0.69,Alto
0.574,-0.49,Bajo
-1.55,-0.37,Medio
0.53,0.58,Alto
-0.233,-0.24,Medio
-0.704,-0.7,Bajo
0.308,0.3,Medio
-0.728,-0.62,Bajo
-0.366,-0.2,Medio
0.578,1.14,Alto
0.113,0.51,Alto
0.984,0.01,Medio
