iteracion, tot_iter, rss_train, rss_val, grad_norm, lr, tiempo
81,200, 1.304869, 1.304940, 2.270740 ,0.000000, 5.870917
82,200, 1.304869, 1.304940, 1.680132 ,0.000000, 5.942666
83,200, 1.304869, 1.304940, 2.006079 ,0.000000, 6.016477
84,200, 1.304869, 1.304940, 1.694633 ,0.000000, 6.096255
85,200, 1.304869, 1.304940, 1.855363 ,0.000000, 6.169768
86,200, 1.304869, 1.304940, 1.891508 ,0.000000, 6.243347
87,200, 1.304869, 1.304940, 1.620771 ,0.000000, 6.314988
88,200, 1.304869, 1.304940, 1.938869 ,0.000000, 6.387028
89,200, 1.304869, 1.304940, 2.455649 ,0.000000, 6.459648
90,200, 1.304869, 1.304940, 1.914227 ,0.000000, 6.531679
91,200, 1.304869, 1.304940, 1.985234 ,0.000000, 6.606470
92,200, 1.304869, 1.304940, 1.489739 ,0.000000, 6.678855
93,200, 1.304869, 1.304940, 1.954719 ,0.000000, 6.752391
94,200, 1.304869, 1.304940, 1.358617 ,0.000000, 6.824832
95,200, 1.304869, 1.304940, 2.096712 ,0.000000, 6.897876
96,200, 1.304869, 1.304940, 1.336719 ,0.000000, 6.970852
97,200, 1.304869, 1.304940, 2.353154 ,0.000000, 7.043537
98,200, 1.304869, 1.304940, 2.166034 ,0.000000, 7.117528
99,200, 1.304869, 1.304940, 1.547173 ,0.000000, 7.189863
100,200, 1.304869, 1.304940, 1.671375 ,0.000000, 7.264407
101,200, 1.304869, 1.304940, 1.222284 ,0.000000, 7.338212
102,200, 1.304869, 1.304940, 1.390152 ,0.000000, 7.410204
103,200, 1.304869, 1.304940, 1.624967 ,0.000000, 7.481618
104,200, 1.304869, 1.304940, 2.202091 ,0.000000, 7.555545
105,200, 1.304869, 1.304940, 2.050921 ,0.000000, 7.630235
106,200, 1.304869, 1.304940, 1.048901 ,0.000000, 7.702707
107,200, 1.304869, 1.304940, 1.898335 ,0.000000, 7.774728
108,200, 1.304869, 1.304940, 1.814980 ,0.000000, 7.848778
109,200, 1.304869, 1.304940, 2.022968 ,0.000000, 7.922383
110,200, 1.304869, 1.304940, 3.098717 ,0.000000, 7.994049
111,200, 1.304869, 1.304940, 1.872919 ,0.000000, 8.065833
112,200, 1.304869, 1.304940, 2.087954 ,0.000000, 8.137909
113,200, 1.304869, 1.304940, 1.962433 ,0.000000, 8.210010
114,200, 1.304869, 1.304940, 1.872231 ,0.000000, 8.282002
115,200, 1.304869, 1.304940, 1.930906 ,0.000000, 8.353881
116,200, 1.304869, 1.304940, 2.005542 ,0.000000, 8.428449
117,200, 1.304869, 1.304940, 1.807365 ,0.000000, 8.501460
118,200, 1.304869, 1.304940, 2.144124 ,0.000000, 8.573353
119,200, 1.304869, 1.304940, 2.060806 ,0.000000, 8.645005
120,200, 1.304869, 1.304940, 1.330458 ,0.000000, 8.719409
121,200, 1.304869, 1.304940, 1.735035 ,0.000000, 8.791969
122,200, 1.304869, 1.304940, 1.688418 ,0.000000, 8.863670
123,200, 1.304869, 1.304940, 2.291124 ,0.000000, 8.935274
124,200, 1.304869, 1.304940, 1.860580 ,0.000000, 9.009379
125,200, 1.304869, 1.304940, 1.667609 ,0.000000, 9.083875
126,200, 1.304869, 1.304940, 2.177863 ,0.000000, 9.155545
127,200, 1.304869, 1.304940, 1.922906 ,0.000000, 9.228608
128,200, 1.304869, 1.304940, 1.741681 ,0.000000, 9.300760
129,200, 1.304869, 1.304940, 2.444263 ,0.000000, 9.375437
130,200, 1.304869, 1.304940, 2.002482 ,0.000000, 9.449036
131,200, 1.304869, 1.304940, 1.706882 ,0.000000, 9.523585
132,200, 1.304869, 1.304940, 2.781634 ,0.000000, 9.598607
133,200, 1.304869, 1.304940, 1.279551 ,0.000000, 9.672527
134,200, 1.304869, 1.304940, 1.383944 ,0.000000, 9.745654
135,200, 1.304869, 1.304940, 2.100548 ,0.000000, 9.819865
136,200, 1.304869, 1.304940, 2.291635 ,0.000000, 9.894525
137,200, 1.304869, 1.304940, 1.667640 ,0.000000, 9.969099
138,200, 1.304869, 1.304940, 1.604749 ,0.000000, 10.043106
139,200, 1.304869, 1.304940, 2.439113 ,0.000000, 10.115239
140,200, 1.304869, 1.304940, 1.845242 ,0.000000, 10.188911
141,200, 1.304869, 1.304940, 1.907800 ,0.000000, 10.262231
142,200, 1.304869, 1.304940, 1.624422 ,0.000000, 10.334384
143,200, 1.304869, 1.304940, 3.006854 ,0.000000, 10.405869
144,200, 1.304869, 1.304940, 1.349303 ,0.000000, 10.478090
145,200, 1.304869, 1.304940, 1.210457 ,0.000000, 10.552148
146,200, 1.304869, 1.304940, 2.135576 ,0.000000, 10.624228
147,200, 1.304869, 1.304940, 1.493900 ,0.000000, 10.695753
148,200, 1.304869, 1.304940, 1.479905 ,0.000000, 10.769655
149,200, 1.304869, 1.304940, 2.014329 ,0.000000, 10.841405
150,200, 1.304869, 1.304940, 2.310372 ,0.000000, 10.915261
151,200, 1.304869, 1.304940, 1.917091 ,0.000000, 10.986810
152,200, 1.304869, 1.304940, 1.772084 ,0.000000, 11.058868
153,200, 1.304869, 1.304940, 1.454320 ,0.000000, 11.130388
154,200, 1.304869, 1.304940, 1.977148 ,0.000000, 11.203400
155,200, 1.304869, 1.304940, 1.311654 ,0.000000, 11.277672
156,200, 1.304869, 1.304940, 1.487998 ,0.000000, 11.351083
157,200, 1.304869, 1.304940, 1.928271 ,0.000000, 11.423800
158,200, 1.304869, 1.304940, 2.144582 ,0.000000, 11.495712
159,200, 1.304869, 1.304940, 2.882500 ,0.000000, 11.569133
160,200, 1.304869, 1.304940, 1.645051 ,0.000000, 11.642992
161,200, 1.304869, 1.304940, 2.684202 ,0.000000, 11.715388
162,200, 1.304869, 1.304940, 2.072305 ,0.000000, 11.789336
163,200, 1.304869, 1.304940, 2.220473 ,0.000000, 11.863649
164,200, 1.304869, 1.304940, 1.760517 ,0.000000, 11.936109
165,200, 1.304869, 1.304940, 1.233398 ,0.000000, 12.010103
166,200, 1.304869, 1.304940, 1.329325 ,0.000000, 12.084330
167,200, 1.304869, 1.304940, 1.901790 ,0.000000, 12.155954
168,200, 1.304869, 1.304940, 2.204581 ,0.000000, 12.230563
169,200, 1.304869, 1.304940, 1.775201 ,0.000000, 12.303543
170,200, 1.304869, 1.304940, 2.430268 ,0.000000, 12.377996
171,200, 1.304869, 1.304940, 1.463796 ,0.000000, 12.453165
172,200, 1.304869, 1.304940, 1.975069 ,0.000000, 12.527850
173,200, 1.304869, 1.304940, 1.359952 ,0.000000, 12.599509
174,200, 1.304869, 1.304940, 1.702895 ,0.000000, 12.672954
175,200, 1.304869, 1.304940, 2.765800 ,0.000000, 12.747249
176,200, 1.304869, 1.304940, 1.758842 ,0.000000, 12.819145
177,200, 1.304869, 1.304940, 1.687528 ,0.000000, 12.891956
178,200, 1.304869, 1.304940, 1.570915 ,0.000000, 12.964155
179,200, 1.304869, 1.304940, 1.635464 ,0.000000, 13.035757
180,200, 1.304869, 1.304940, 2.042859 ,0.000000, 13.109206
181,200, 1.304869, 1.304940, 1.798720 ,0.000000, 13.182616
182,200, 1.304869, 1.304940, 1.179163 ,0.000000, 13.256268
183,200, 1.304869, 1.304940, 1.756599 ,0.000000, 13.330365
184,200, 1.304869, 1.304940, 1.842861 ,0.000000, 13.404831
185,200, 1.304869, 1.304940, 2.540016 ,0.000000, 13.478259
186,200, 1.304869, 1.304940, 1.335876 ,0.000000, 13.551725
187,200, 1.304869, 1.304940, 1.481877 ,0.000000, 13.625661
188,200, 1.304869, 1.304940, 1.861429 ,0.000000, 13.700201
189,200, 1.304869, 1.304940, 2.326538 ,0.000000, 13.774434
190,200, 1.304869, 1.304940, 1.549237 ,0.000000, 13.847694
191,200, 1.304869, 1.304940, 1.623802 ,0.000000, 13.921808
192,200, 1.304869, 1.304940, 0.988576 ,0.000000, 13.996745
193,200, 1.304869, 1.304940, 1.678299 ,0.000000, 14.070554
194,200, 1.304869, 1.304940, 2.569617 ,0.000000, 14.143560
195,200, 1.304869, 1.304940, 1.518737 ,0.000000, 14.215289
196,200, 1.304869, 1.304940, 1.570498 ,0.000000, 14.289058
197,200, 1.304869, 1.304940, 2.065098 ,0.000000, 14.362964
198,200, 1.304869, 1.304940, 2.062958 ,0.000000, 14.437147
199,200, 1.304869, 1.304940, 1.948413 ,0.000000, 14.510611
200,200, 1.304869, 1.304940, 1.363313 ,0.000000, 14.584509
201,200, 1.304869, 1.304940, 1.190899 ,0.000000, 14.656196
2,200, 1.304870, 1.304940, 1.292789 ,0.000000, 0.063804
3,200, 1.304870, 1.304940, 1.701666 ,0.000000, 0.130116
4,200, 1.304870, 1.304940, 1.826362 ,0.000000, 0.194677
5,200, 1.304870, 1.304940, 1.320010 ,0.000000, 0.261114
6,200, 1.304870, 1.304940, 1.254494 ,0.000000, 0.326931
7,200, 1.304870, 1.304940, 1.567404 ,0.000000, 0.393121
8,200, 1.304869, 1.304940, 1.658294 ,0.000000, 0.459521
9,200, 1.304869, 1.304940, 1.998560 ,0.000000, 0.525491
10,200, 1.304869, 1.304940, 2.092170 ,0.000000, 0.590878
11,200, 1.304869, 1.304940, 2.332027 ,0.000000, 0.657023
12,200, 1.304869, 1.304940, 1.838473 ,0.000000, 0.723286
13,200, 1.304869, 1.304940, 1.825159 ,0.000000, 0.789367
14,200, 1.304869, 1.304940, 2.306903 ,0.000000, 0.855507
15,200, 1.304869, 1.304940, 1.585050 ,0.000000, 0.921687
16,200, 1.304869, 1.304940, 2.488277 ,0.000000, 0.987340
17,200, 1.304869, 1.304940, 2.201182 ,0.000000, 1.051954
18,200, 1.304869, 1.304940, 2.157230 ,0.000000, 1.117695
19,200, 1.304869, 1.304940, 1.457708 ,0.000000, 1.182793
20,200, 1.304869, 1.304940, 2.073139 ,0.000000, 1.247683
21,200, 1.304869, 1.304940, 1.116939 ,0.000000, 1.312509
22,200, 1.304869, 1.304940, 1.496054 ,0.000000, 1.378172
23,200, 1.304869, 1.304940, 1.233370 ,0.000000, 1.443602
24,200, 1.304869, 1.304940, 1.336458 ,0.000000, 1.510435
25,200, 1.304869, 1.304940, 1.626607 ,0.000000, 1.576604
26,200, 1.304869, 1.304940, 1.484691 ,0.000000, 1.640754
27,200, 1.304869, 1.304940, 1.920648 ,0.000000, 1.706654
28,200, 1.304869, 1.304939, 1.889745 ,0.000000, 1.771081
29,200, 1.304869, 1.304939, 2.187142 ,0.000000, 1.837518
30,200, 1.304869, 1.304939, 1.854310 ,0.000000, 1.904724
31,200, 1.304869, 1.304939, 1.546604 ,0.000000, 1.970598
32,200, 1.304869, 1.304939, 1.827387 ,0.000000, 2.037661
33,200, 1.304869, 1.304939, 1.801164 ,0.000000, 2.104125
34,200, 1.304869, 1.304939, 1.881955 ,0.000000, 2.169258
35,200, 1.304869, 1.304939, 1.680036 ,0.000000, 2.235257
36,200, 1.304869, 1.304939, 1.589864 ,0.000000, 2.299801
37,200, 1.304869, 1.304939, 4.042974 ,0.000000, 2.366593
38,200, 1.304869, 1.304939, 2.856698 ,0.000000, 2.432642
39,200, 1.304868, 1.304939, 1.229564 ,0.000000, 2.499508
40,200, 1.304868, 1.304939, 1.586475 ,0.000000, 2.565480
41,200, 1.304868, 1.304939, 1.020885 ,0.000000, 2.630492
42,200, 1.304868, 1.304939, 1.794075 ,0.000000, 2.696191
43,200, 1.304868, 1.304939, 2.861129 ,0.000000, 2.760351
44,200, 1.304868, 1.304939, 2.571875 ,0.000000, 2.826670
45,200, 1.304868, 1.304939, 2.214897 ,0.000000, 2.892988
46,200, 1.304868, 1.304939, 1.820771 ,0.000000, 2.960752
47,200, 1.304868, 1.304939, 1.954006 ,0.000000, 3.027047
48,200, 1.304868, 1.304939, 2.064375 ,0.000000, 3.093423
49,200, 1.304868, 1.304939, 2.476105 ,0.000000, 3.158091
50,200, 1.304868, 1.304939, 1.777839 ,0.000000, 3.223951
51,200, 1.304868, 1.304939, 1.761543 ,0.000000, 3.290458
52,200, 1.304868, 1.304939, 1.778785 ,0.000000, 3.357165
53,200, 1.304868, 1.304939, 2.263368 ,0.000000, 3.423686
54,200, 1.304868, 1.304939, 1.855554 ,0.000000, 3.488101
55,200, 1.304868, 1.304939, 1.605805 ,0.000000, 3.553097
56,200, 1.304868, 1.304939, 2.177766 ,0.000000, 3.618925
57,200, 1.304868, 1.304939, 1.021406 ,0.000000, 3.683725
58,200, 1.304868, 1.304938, 1.853029 ,0.000000, 3.750186
59,200, 1.304868, 1.304938, 1.811454 ,0.000000, 3.816120
60,200, 1.304868, 1.304938, 2.039338 ,0.000000, 3.881873
61,200, 1.304868, 1.304938, 2.163093 ,0.000000, 3.947949
62,200, 1.304868, 1.304938, 1.667001 ,0.000000, 4.013777
63,200, 1.304868, 1.304938, 2.036150 ,0.000000, 4.078793
64,200, 1.304868, 1.304938, 1.900642 ,0.000000, 4.144665
65,200, 1.304868, 1.304938, 1.535616 ,0.000000, 4.209387
66,200, 1.304868, 1.304938, 2.007818 ,0.000000, 4.274101
67,200, 1.304868, 1.304938, 1.924410 ,0.000000, 4.338770
68,200, 1.304868, 1.304938, 2.140723 ,0.000000, 4.403127
69,200, 1.304867, 1.304938, 2.118439 ,0.000000, 4.468989
70,200, 1.304867, 1.304938, 2.061481 ,0.000000, 4.534073
71,200, 1.304867, 1.304938, 0.938804 ,0.000000, 4.598776
72,200, 1.304867, 1.304938, 2.463164 ,0.000000, 4.663830
73,200, 1.304867, 1.304938, 1.814619 ,0.000000, 4.729384
